dataset,media
autos,0.8277048393821907
balance,0.7969689140046041
contraceptive,0.5115271441266908
dermatology,0.9524351419674648
ecoli,0.8780581498734857
glass,0.6802486145016605
hayes-roth,0.8240884629773518
lymphography,0.816718933365485
new-thyroid,0.9223255823142781
pageblocks,0.9323805773858315
penbased,0.8998399598992168
shuttle,0.9975928035821415
thyroid,0.986098383837413
wine,0.937240748647359
yeast,0.5372317776791665
